"genero","edad","estado_padres","educacion_madre","educacion_padre","en_pareja","nota_primer_semetre","nota_segundo_semestre","nota_final"
"M",16,0,4,3,"1",15,15,15
"F",15,0,2,1,"1",10,12,12
"F",16,0,3,3,"1",8,10,10
"M",15,0,4,4,"1",9,11,12
"F",15,0,3,4,"1",12,12,11
"F",15,1,4,3,"0",8,8,6
"F",16,1,3,3,"1",11,12,11
"M",15,0,4,4,"1",14,15,15
"M",15,1,4,4,"0",13,13,12
"F",16,0,3,3,"1",11,12,11
"M",15,0,2,2,"1",15,15,15
"F",16,0,3,3,"0",7,7,8
"M",16,0,3,3,"1",16,18,18
"M",15,1,4,4,"1",18,19,19
"F",16,0,2,2,"1",10,13,13
"M",15,0,2,1,"0",9,9,9
"M",15,0,2,2,"1",16,14,15
"M",16,0,1,1,"0",14,12,12
"F",16,0,1,1,"1",14,14,13
"F",15,0,1,2,"1",10,11,11
"F",15,0,3,3,"0",10,10,10
"F",17,0,4,4,"0",11,11,12
"M",16,0,4,2,"0",10,8,9
"M",17,0,4,3,"0",10,10,11
"M",16,0,4,3,"1",9,8,8
"F",16,0,3,2,"1",12,13,12
"F",17,0,3,4,"0",10,9,9
"F",16,0,4,3,"0",11,12,13
"F",16,1,2,2,"1",12,13,14
"F",16,0,4,4,"1",13,13,14
"F",17,1,2,1,"0",12,10,12
"M",16,0,1,1,"1",9,7,6
"M",19,1,4,3,"1",11,11,11
"F",18,0,4,3,"0",17,18,18
"M",18,0,4,2,"0",10,9,10
"F",18,0,2,1,"0",6,0,0
"M",18,0,4,4,"1",9,9,9
"M",17,1,3,2,"1",11,9,10
"M",19,0,4,4,"0",8,9,8
"F",19,0,1,1,"0",15,13,13
"F",18,0,4,4,"1",11,11,11
"F",17,0,3,1,"1",12,14,15
"F",17,1,3,2,"1",9,10,10
"M",18,0,4,3,"0",16,15,16
"M",18,0,1,3,"0",8,7,8
"F",17,0,4,4,"1",12,13,13
"M",18,0,1,1,"0",10,10,10
"F",18,0,1,1,"1",8,8,10
"F",18,0,4,4,"1",8,9,10
"F",17,0,3,1,"1",10,10,10
"M",18,0,3,2,"1",11,12,10
